make_id,make_name,vehicle_type_id,vehicle_type_name,source_url,fetched_at_utc
2049,KEPLER MOTORS,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2131,MAKING YOU MOBILE,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2236,MCLAREN,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2376,MYCAR,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2408,EAGLE,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2409,PLYMOUTH,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2665,NJD AUTOMOTIVE LLC,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
2745,PHOENIX MOTORCARS,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
3176,ROCKET SLED MOTORS,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
3440,VISION INDUSTRIES,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
3540,WARHAWK PERFORMANCE,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
3583,UKEYCHEYMA,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
3706,TOTAL ELECTRIC VEHICLES,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
3766,SPYKER,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
4162,OLDSMOBILE,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
4220,PANOZ,2,Passenger Car,https://vpic.nhtsa.dot.gov/api/vehicles/GetMakesForVehicleType/car?format=json,2026-09-14T03:26:22.042735+00:00
